timestamp,powerconsumer1_energy_mwh,elapsed_time_min,unit,speed_kn,phase,DG1_energy_produced_mwh,propulsion_power_mw,fins_status,timestamp_dt,powerconsumer1_kw,DG1_power_kw,date,hour,minute,day_of_week,is_weekend,hour_sin,hour_cos,pc1_kw_lag1,pc1_kw_lag2,pc1_kw_roll3,dg1_on,consumer_share_dg1
1761541200000,0.022066667,5,ship1,34.747,SEA,0.3576666666666667,7.824233333333333,0,2025-10-27 05:00:00,264.80000400000006,4292.0,2025-10-27,5,0,0,0,0.9659258262890683,0.25881904510252074,267.933336,258.63333600000004,263.78889200000003,1,0.06169617986952471
1761541500000,0.022488889,5,ship1,34.569,SEA,0.33766666666666667,7.153300000000001,0,2025-10-27 05:05:00,269.866668,4051.9999999999995,2025-10-27,5,5,0,0,0.9659258262890683,0.25881904510252074,264.80000400000006,267.933336,267.533336,1,0.06660085587364266
1761541800000,0.022622222,5,ship1,34.382,SEA,0.338,7.173733333333334,0,2025-10-27 05:10:00,271.46666400000004,4056.0,2025-10-27,5,10,0,0,0.9659258262890683,0.25881904510252074,269.866668,264.80000400000006,268.711112,1,0.06692965088757398
1761542100000,0.022777778,5,ship1,34.039,SEA,0.327,6.763699999999999,0,2025-10-27 05:15:00,273.333336,3924.0000000000005,2025-10-27,5,15,0,0,0.9659258262890683,0.25881904510252074,271.46666400000004,269.866668,271.555556,1,0.06965681345565748
1761542400000,0.022647222,5,ship1,33.783,SEA,0.3293333333333333,6.8425666666666665,0,2025-10-27 05:20:00,271.76666400000005,3952.0,2025-10-27,5,20,0,0,0.9659258262890683,0.25881904510252074,273.333336,271.46666400000004,272.18888799999996,1,0.06876686842105265
1761542700000,0.023047222,5,ship1,33.873,SEA,0.32966666666666666,6.8541,0,2025-10-27 05:25:00,276.56666399999995,3956.0,2025-10-27,5,25,0,0,0.9659258262890683,0.25881904510252074,271.76666400000005,273.333336,273.88888799999995,1,0.06991068351870575
1761543000000,0.023344444,5,ship1,33.501,SEA,0.33466666666666667,7.011399999999999,0,2025-10-27 05:30:00,280.133328,4016.0,2025-10-27,5,30,0,0,0.9659258262890683,0.25881904510252074,276.56666399999995,271.76666400000005,276.155552,1,0.06975431474103586
1761543300000,0.02355,5,ship1,33.230000000000004,SEA,0.338,7.141266666666666,0,2025-10-27 05:35:00,282.6,4056.0,2025-10-27,5,35,0,0,0.9659258262890683,0.25881904510252074,280.133328,276.56666399999995,279.766664,1,0.06967455621301775
1761543600000,0.023647222,5,ship1,33.054,SEA,0.3406666666666667,7.219933333333333,0,2025-10-27 05:40:00,283.766664,4088.0,2025-10-27,5,40,0,0,0.9659258262890683,0.25881904510252074,282.6,280.133328,282.166664,1,0.06941454598825832
1761543900000,0.023736111,5,ship1,33.502,SEA,0.335,7.0085,0,2025-10-27 05:45:00,284.833332,4020.0000000000005,2025-10-27,5,45,0,0,0.9659258262890683,0.25881904510252074,283.766664,282.6,283.73333199999996,1,0.07085406268656715
1761544200000,0.023725,5,ship1,33.561,SEA,0.333,6.9802333333333335,0,2025-10-27 05:50:00,284.7,3996.0000000000005,2025-10-27,5,50,0,0,0.9659258262890683,0.25881904510252074,284.833332,283.766664,284.433332,1,0.07124624624624623
1761544500000,0.025897222,5,ship1,33.429,SEA,0.33866666666666667,7.149766666666666,0,2025-10-27 05:55:00,310.76666400000005,4064.0,2025-10-27,5,55,0,0,0.9659258262890683,0.25881904510252074,284.7,284.833332,293.433332,1,0.07646817519685041
1761544800000,0.026944444,5,ship1,33.34,SEA,0.33866666666666667,7.1786666666666665,0,2025-10-27 06:00:00,323.33332800000005,4064.0,2025-10-27,6,0,0,0,1.0,6.123233995736766e-17,310.76666400000005,284.7,306.26666400000005,1,0.0795603661417323
1761545100000,0.026838889,5,ship1,33.414,SEA,0.337,7.1046,0,2025-10-27 06:05:00,322.066668,4044.0000000000005,2025-10-27,6,5,0,0,1.0,6.123233995736766e-17,323.33332800000005,310.76666400000005,318.72222000000005,1,0.07964062017804154
1761545400000,0.027302778,5,ship1,33.483000000000004,SEA,0.33466666666666667,7.005,0,2025-10-27 06:10:00,327.633336,4016.0,2025-10-27,6,10,0,0,1.0,6.123233995736766e-17,322.066668,323.33332800000005,324.344444,1,0.08158200597609562
1761545700000,0.027288889,5,ship1,33.554,SEA,0.33166666666666667,6.951799999999999,0,2025-10-27 06:15:00,327.466668,3980.0,2025-10-27,6,15,0,0,1.0,6.123233995736766e-17,327.633336,322.066668,325.72222400000004,1,0.08227805728643217
1761546000000,0.027152778,5,ship1,33.435,SEA,0.335,7.0258,0,2025-10-27 06:20:00,325.833336,4020.0000000000005,2025-10-27,6,20,0,0,1.0,6.123233995736766e-17,327.466668,327.633336,326.97778,1,0.0810530686567164
1761546300000,0.026952778,5,ship1,33.233000000000004,SEA,0.3373333333333333,7.099199999999999,0,2025-10-27 06:25:00,323.433336,4048.0,2025-10-27,6,25,0,0,1.0,6.123233995736766e-17,325.833336,327.466668,325.57778,1,0.0798995395256917
1761546600000,0.027425,5,ship1,33.208,SEA,0.337,7.1265,0,2025-10-27 06:30:00,329.1,4044.0000000000005,2025-10-27,6,30,0,0,1.0,6.123233995736766e-17,323.433336,325.833336,326.12222399999996,1,0.08137982195845697
1761546900000,0.027422222,5,ship1,33.219,SEA,0.33766666666666667,7.1266333333333325,0,2025-10-27 06:35:00,329.066664,4051.9999999999995,2025-10-27,6,35,0,0,1.0,6.123233995736766e-17,329.1,323.433336,327.2,1,0.08121092398815401
1761547200000,0.027083333,5,ship1,33.322,SEA,0.33766666666666667,7.108033333333334,0,2025-10-27 06:40:00,324.999996,4051.9999999999995,2025-10-27,6,40,0,0,1.0,6.123233995736766e-17,329.066664,329.1,327.72222000000005,1,0.08020730404738402
1761547500000,0.027433333,5,ship1,33.37,SEA,0.33466666666666667,7.0788,0,2025-10-27 06:45:00,329.199996,4016.0,2025-10-27,6,45,0,0,1.0,6.123233995736766e-17,324.999996,329.066664,327.755552,1,0.08197211055776893
1761547800000,0.027847222,5,ship1,33.407,SEA,0.3353333333333333,7.074699999999999,0,2025-10-27 06:50:00,334.166664,4024.0,2025-10-27,6,50,0,0,1.0,6.123233995736766e-17,329.199996,324.999996,329.455552,1,0.0830434055666004
1761548100000,0.027925,5,ship1,33.384,SEA,0.33566666666666667,7.073033333333334,0,2025-10-27 06:55:00,335.09999999999997,4028.0000000000005,2025-10-27,6,55,0,0,1.0,6.123233995736766e-17,334.166664,329.199996,332.82222,1,0.08319265143992054
1761548400000,0.027416667,5,ship1,33.402,SEA,0.33366666666666667,7.0604,0,2025-10-27 07:00:00,329.00000399999993,4003.9999999999995,2025-10-27,7,0,0,0,0.9659258262890683,-0.25881904510252063,335.09999999999997,334.166664,332.75555599999996,1,0.08216783316683315
1761548700000,0.028052778,5,ship1,33.422,SEA,0.332,7.0269,0,2025-10-27 07:05:00,336.633336,3984.0,2025-10-27,7,5,0,0,0.9659258262890683,-0.25881904510252063,329.00000399999993,335.09999999999997,333.57777999999996,1,0.08449631927710843
1761549000000,0.027786111,5,ship1,33.379,SEA,0.33466666666666667,7.073966666666667,0,2025-10-27 07:10:00,333.43333199999995,4016.0,2025-10-27,7,10,0,0,0.9659258262890683,-0.25881904510252063,336.633336,329.00000399999993,333.02222399999994,1,0.0830262280876494
1761549300000,0.027358333,5,ship1,33.291,SEA,0.328,6.845,0,2025-10-27 07:15:00,328.29999599999996,3936.0,2025-10-27,7,15,0,0,0.9659258262890683,-0.25881904510252063,333.43333199999995,336.633336,332.788888,1,0.08340955182926828
1761549600000,0.027783333,5,ship1,33.313,SEA,0.3273333333333333,6.885466666666667,0,2025-10-27 07:20:00,333.39999600000004,3928.0,2025-10-27,7,20,0,0,0.9659258262890683,-0.25881904510252063,328.29999599999996,333.43333199999995,331.71110799999997,1,0.08487779938900204
1761549900000,0.027766667,5,ship1,33.373,SEA,0.32566666666666666,6.857399999999998,0,2025-10-27 07:25:00,333.200004,3908.0,2025-10-27,7,25,0,0,0.9659258262890683,-0.25881904510252063,333.39999600000004,328.29999599999996,331.633332,1,0.0852610040941658
1761550200000,0.027677778,5,ship1,33.385,SEA,0.326,6.8590333333333335,0,2025-10-27 07:30:00,332.133336,3912.0,2025-10-27,7,30,0,0,0.9659258262890683,-0.25881904510252063,333.200004,333.39999600000004,332.911112,1,0.08490115950920245
1761550500000,0.027988889,5,ship1,33.409,SEA,0.324,6.822899999999999,0,2025-10-27 07:35:00,335.866668,3888.0,2025-10-27,7,35,0,0,0.9659258262890683,-0.25881904510252063,332.133336,333.200004,333.73333599999995,1,0.08638545987654321
1761550800000,0.02775,5,ship1,33.429,SEA,0.3233333333333333,6.799266666666666,0,2025-10-27 07:40:00,333.0,3880.0,2025-10-27,7,40,0,0,0.9659258262890683,-0.25881904510252063,335.866668,332.133336,333.666668,1,0.08582474226804124
1761551100000,0.027986111,5,ship1,33.447,SEA,0.3253333333333333,6.881733333333333,0,2025-10-27 07:45:00,335.833332,3904.0,2025-10-27,7,45,0,0,0.9659258262890683,-0.25881904510252063,333.0,335.866668,334.90000000000003,1,0.08602288217213114
1761551400000,0.028441667,5,ship1,33.467,SEA,0.31666666666666665,6.6132333333333335,0,2025-10-27 07:50:00,341.300004,3800.0,2025-10-27,7,50,0,0,0.9659258262890683,-0.25881904510252063,335.833332,333.0,336.711112,1,0.08981579052631579
